m2	habs	precio
103	3	507	
157	3	437	
70	2	230	
100	3	475	
99	3	550	
90	3	389	
132	3	1399	
55	2	324	
95	3	360	
90	2	390	
95	3	345	
62	2	202	
46	2	298	
62	2	289	
75	3	259	
57	0	215	
70	3	139	
350	5	900	
70	4	370	
85	3	199	
58	3	150	
60	2	199	
130	3	725	
100	3	420	
93	3	318	
490	4	1899	
60	2	128	
50	0	112	
90	4	450	
105	3	450	
103	3	507	
157	3	437	
70	2	230	
100	3	475	
99	3	550	
90	3	389	
132	3	1399	
55	2	324	
95	3	360	
90	2	390	
95	3	345	
62	2	202	
46	2	298	
62	2	289	
75	3	259	
57	0	215	
70	3	139	
350	5	900	
70	4	370	
85	3	199	
58	3	150	
60	2	199	
130	3	725	
80	3	210		
90	3	149		
90	0	284		
160	4	468		
130	4	740		
94	3	450		
55	2	290		
70	2	250		
65	3	234		
125	4	390		
55	1	98		
85	3	260		
75	3	410		
85	4	497		
224	4	840		
110	2	379		
540	4	890		
76	3	246		
300	5	1250		
166	4	590		
173	4	1250		
72	3	150		
200	3	2600		
86	4	325		
180	4	495		
60	1	350		
200	3	698		
60	1	180		
65	3	115		
50	2	155		
541	5	970		
60	2	208		
72	3	165		
50	1	258		
70	2	168		
50	2	155		
42	1	240		
97	3	219		
100	4	275		
67	3	180		
48	1	120		
107	3	480		
80	3	249		
60	3	140		
120	4	403		
240	5	1100		
100	3	480		
120	3	770		
76	3	247		
65	2	205		
85	3	260		
85	2	500		
60	1	80		
300	10	1800					
127	4	590		
55	2	140		
73	3	500		
89	3	390		
140	3	790			
			
